pu,nuts2id,EU_id
3598,216,1006
3599,216,1007
3600,216,1008
3601,216,1009
3602,216,1010
3603,216,1011
3604,216,1012
3605,216,1013
3606,216,1014
3607,216,1015
3608,216,1016
3609,216,1017
3610,97,1018
3611,97,1019
3612,97,1020
3613,97,1021
3614,97,1022
3615,97,1023
3616,97,1024
3617,97,1025
3618,97,1026
3619,97,1027
3620,97,1028
3621,97,1029
3622,97,1030
3623,97,1031
3624,97,1032
3625,97,1033
3626,97,1034
3627,97,1035
3628,97,1036
3629,97,1037
3630,97,1038
3631,97,1039
3632,97,1040
3633,97,1041
3634,97,1042
3635,97,1043
3684,216,1044
3685,216,1045
3686,216,1046
3687,216,1047
3688,216,1048
3689,216,1049
3690,216,1050
3691,216,1051
3692,216,1052
3693,216,1053
3694,216,1054
3695,216,1055
3696,216,1056
3697,216,1057
3698,216,1058
3699,216,1059
3700,216,1060
3701,216,1061
3702,216,1062
3703,216,1063
3704,216,1064
3705,216,1065
3706,216,1066
3707,216,1067
3708,216,1068
3709,216,1069
3710,216,1070
3711,216,1071
3712,216,1072
3713,216,1073
3714,216,1074
3715,216,1075
3716,216,1076
3717,97,1077
3718,97,1078
3719,97,1079
3720,97,1080
3721,97,1081
3722,97,1082
3723,97,1083
3724,97,1084
3725,97,1085
3726,97,1086
3727,97,1087
3728,97,1088
3729,97,1089
3730,97,1090
3731,97,1091
3732,97,1092
3733,97,1093
3734,97,1094
3735,97,1095
3736,97,1096
3737,97,1097
3738,97,1098
3739,97,1099
3740,97,1100
3741,97,1101
3742,97,1102
3743,97,1103
3795,216,1104
3796,216,1105
3797,216,1106
3798,216,1107
3799,216,1108
3800,216,1109
3801,216,1110
3802,216,1111
3803,216,1112
3804,216,1113
3805,216,1114
3806,216,1115
3807,216,1116
3808,216,1117
3809,216,1118
3810,216,1119
3811,216,1120
3812,216,1121
3813,216,1122
3814,216,1123
3815,216,1124
3816,216,1125
3817,216,1126
3818,216,1127
3819,216,1128
3820,216,1129
3821,216,1130
3822,216,1131
3823,216,1132
3824,216,1133
3825,216,1134
3826,216,1135
3827,216,1136
3828,216,1137
3829,97,1138
3830,97,1139
3831,97,1140
3832,97,1141
3833,97,1142
3834,97,1143
3835,97,1144
3836,97,1145
3837,97,1146
3838,97,1147
3839,97,1148
3840,97,1149
3841,97,1150
3842,97,1151
3843,97,1152
3844,97,1153
3845,97,1154
3846,97,1155
3847,97,1156
3848,97,1157
3849,97,1158
3850,97,1159
3851,97,1160
3852,97,1161
3853,97,1162
3854,97,1163
3855,97,1164
3909,216,1165
3910,216,1166
3911,216,1167
3912,216,1168
3913,216,1169
3914,216,1170
3915,216,1171
3916,216,1172
3917,216,1173
3918,216,1174
3919,216,1175
3920,216,1176
3921,216,1177
3922,216,1178
3923,216,1179
3924,216,1180
3925,216,1181
3926,216,1182
3927,216,1183
3928,216,1184
3929,216,1185
3930,216,1186
3931,216,1187
3932,216,1188
3933,216,1189
3934,216,1190
3935,216,1191
3936,216,1192
3937,216,1193
3938,216,1194
3939,216,1195
3940,216,1196
3941,216,1197
3942,216,1198
3943,97,1199
3944,97,1200
3945,97,1201
3946,97,1202
3947,97,1203
3948,97,1204
3949,97,1205
3950,97,1206
3951,97,1207
3952,97,1208
3953,97,1209
3954,97,1210
3955,97,1211
3956,97,1212
3957,97,1213
3958,97,1214
3959,97,1215
3960,97,1216
3961,97,1217
3962,97,1218
3963,97,1219
3964,97,1220
3965,97,1221
3966,97,1222
3967,97,1223
3968,97,1224
4026,216,1225
4027,216,1226
4028,216,1227
4029,216,1228
4030,216,1229
4031,216,1230
4032,216,1231
4033,216,1232
4034,216,1233
4035,216,1234
4036,216,1235
4037,216,1236
4038,216,1237
4039,216,1238
4040,216,1239
4041,216,1240
4042,216,1241
4043,216,1242
4044,216,1243
4045,216,1244
4046,216,1245
4047,216,1246
