speciesname,taxon_id
Andryala_crithmifolia,3105531
Geranium_maderense,2890983
Globularia_sarcophylla,5578495
Helichrysum_gossypinum,7379976
Hymenophyllum_maderensis,3608170
Leiostyla_corneocostata,4566645
Myosotis_maritima,5660980
Pittosporum_coriaceum,8350478
Polystichum_drepanum,4039363
Semele_maderensis,5303772
Teucrium_abutiloides,3901655
Bencomia_sphaerocarpa,3032179
Carex_malato-belizii,2728098
Goodyera_macrophylla,2840691
Erinaceus_algirus,2437136
Myotis_punicus,4266337
Podarcis_filfolensis,2469148
Scrophularia_grandiflora,7332908
Chamaeleo_chamaeleon,2449051
Pipistrellus_hanaki,5787632
Plecotus_kolombatovici,5739445
Podarcis_milensis,2469118
Podarcis_peloponnesiaca,2469022
Podarcis_pityusensis,2469028
Rousettus_aegyptiacus,2432953
Sisymbrium_cavanillesianum,3046747
Chalcides_ocellatus,5225137
Linaria_algarviana,7776721
Linaria_ricardoi,8010088
Alytes_cisternasii,2426610
Herpestes_ichneumon,2434255
Crocidura_sicula,2435553
Gibbula_nivosa,9326566
Pinna_nobilis,4374731
Patella_ferruginea,5728503
Euphrasia_mendoncae,7332902
Festuca_duriotagana,4125030
Fabriciana_elisa,1911812
Herniaria_maritima,8228636
Iris_lusitanica,5297966
Juncus_valvatus,2701520
Lampedusa_imitatrix,8724265
Leontodon_siculus,8350816
Leuzea_longifolia,8361473
Leuzea_rhaponticoides,3142178
Lynx_pardinus,2435261
Microtus_cabrerae,2438668
Narcissus_fernandesii,2858924
Narcissus_scaberulus,2858572
Ophrys_melitensis,2792725
Papilio_hospiton,1938050
Picris_willkommii,3093358
Plebicula_golgus,5772700
Saxifraga_cintrana,3754087
Thymus_carnosus,5607503
Crepis_pusilla,5403341
Bupleurum_capillare,3639640
Algyroides_fitzingeri,2469361
Capra_aegagrus,4262706
Carduus_myriacanthus,3114589
Centaurea_lactiflora,3128480
Centaurea_rothmalerana,9401685
Centaurium_rigualii,7270624
Coincya_rupestris,3040701
Colchicum_corsicum,2739652
Colchicum_cousturieri,2739741
Crepis_crocifolia,3143056
Crocus_cyprius,2747796
Alytes_muletensis,2426609
Diplotaxis_ibicensis,5376382
Diplotaxis_siettiana,5376403
Elaphe_sauromates,2458386
Erodium_astragaloides,3828671
Erodium_rupicola,3826194
Euphorbia_nevadensis,3066236
Euproctus_montanus,2431940
Euproctus_platycephalus,2431941
Festuca_henriquesii,5941045
Anchusa_crispa,8257208
Galium_litorale,2914154
Androcymbium_europaeum,2740599
Helianthemum_caput-felis,7331423
Herniaria_algarvica,3594304
Lamyropsis_microcephala,3132517
