pu,nuts2id,BR_ID,EU_id
3846,97,6,1155
3847,97,6,1156
3848,97,6,1157
3849,97,6,1158
3850,97,6,1159
3851,97,6,1160
3852,97,6,1161
3853,97,6,1162
3854,97,6,1163
3855,97,6,1164
3909,216,1,1165
3910,216,1,1166
3911,216,1,1167
3912,216,1,1168
3913,216,1,1169
3914,216,1,1170
3915,216,1,1171
3916,216,1,1172
3917,216,1,1173
3918,216,1,1174
3919,216,1,1175
3920,216,1,1176
3921,216,1,1177
3922,216,1,1178
3923,216,1,1179
3924,216,1,1180
3925,216,1,1181
3926,216,1,1182
3927,216,6,1183
3928,216,6,1184
3929,216,6,1185
3930,216,6,1186
3931,216,6,1187
3932,216,6,1188
3933,216,6,1189
3934,216,6,1190
3935,216,6,1191
3936,216,6,1192
3937,216,6,1193
3938,216,6,1194
3939,216,6,1195
3940,216,6,1196
3941,216,6,1197
3942,216,6,1198
3943,97,6,1199
3944,97,6,1200
3945,97,6,1201
3946,97,6,1202
3947,97,6,1203
3948,97,6,1204
3949,97,6,1205
3950,97,6,1206
3951,97,6,1207
3952,97,6,1208
3953,97,6,1209
3954,97,6,1210
3955,97,6,1211
3956,97,6,1212
3957,97,6,1213
3958,97,6,1214
3959,97,6,1215
3960,97,6,1216
3961,97,6,1217
3962,97,6,1218
3963,97,6,1219
3964,97,6,1220
3965,97,6,1221
3966,97,6,1222
3967,97,6,1223
3968,97,6,1224
4026,216,1,1225
4027,216,1,1226
4028,216,1,1227
4029,216,1,1228
4030,216,1,1229
4031,216,1,1230
4032,216,1,1231
4033,216,1,1232
4034,216,1,1233
4035,216,1,1234
4036,216,1,1235
4037,216,1,1236
4038,216,1,1237
4039,216,1,1238
4040,216,1,1239
4041,216,1,1240
4042,216,1,1241
4043,216,1,1242
4044,216,6,1243
4045,216,6,1244
4046,216,6,1245
4047,216,6,1246
4048,216,6,1247
4049,216,6,1248
4050,216,6,1249
4051,216,6,1250
4052,216,6,1251
4053,216,6,1252
4054,216,6,1253
4055,216,6,1254
4056,216,6,1255
4057,216,6,1256
4058,216,6,1257
4059,216,6,1258
4060,97,6,1259
4061,97,6,1260
4062,97,6,1261
4063,97,6,1262
4064,97,6,1263
4065,97,6,1264
4066,97,6,1265
4067,97,6,1266
4068,97,6,1267
4069,97,6,1268
4070,97,6,1269
4071,97,6,1270
4072,97,6,1271
4073,97,6,1272
4074,97,6,1273
