name,value
France.FR71.CrpLnd.HiSol_N2O,3.439
,
France.FR72.GRSLND.Area,0.737
France.FR72.GRSLND.HiSol_CO2,6.403
France.FR72.GRSLND.HiSol_N2O,3.434
,
France.FR72.CrpLnd.Area,0.951
France.FR72.CrpLnd.HiSol_CO2,33.212
France.FR72.CrpLnd.HiSol_N2O,3.425
,
France.FR81.GRSLND.Area,5.159
France.FR81.GRSLND.HiSol_CO2,6.401
France.FR81.GRSLND.HiSol_N2O,3.432
,
France.FR81.CrpLnd.Area,0.183
France.FR81.CrpLnd.HiSol_CO2,33.225
France.FR81.CrpLnd.HiSol_N2O,3.43
,
Germany.DE11.GRSLND.Area,0.001
Germany.DE11.GRSLND.HiSol_CO2,1.176
Germany.DE11.GRSLND.HiSol_N2O,3.767
,
Germany.DE11.CrpLnd.Area,0.001
Germany.DE11.CrpLnd.HiSol_CO2,18.675
Germany.DE11.CrpLnd.HiSol_N2O,3.413
,
Germany.DE12.GRSLND.Area,0.96
Germany.DE12.GRSLND.HiSol_CO2,1.07
Germany.DE12.GRSLND.HiSol_N2O,3.432
,
Germany.DE12.CrpLnd.Area,0.501
Germany.DE12.CrpLnd.HiSol_CO2,18.777
Germany.DE12.CrpLnd.HiSol_N2O,3.43
,
Germany.DE13.GRSLND.Area,0.451
Germany.DE13.GRSLND.HiSol_CO2,1.07
Germany.DE13.GRSLND.HiSol_N2O,3.437
,
Germany.DE13.CrpLnd.Area,0.427
Germany.DE13.CrpLnd.HiSol_CO2,18.778
Germany.DE13.CrpLnd.HiSol_N2O,3.427
,
Germany.DE14.GRSLND.Area,3.984
Germany.DE14.GRSLND.HiSol_CO2,1.07
Germany.DE14.GRSLND.HiSol_N2O,3.432
,
Germany.DE14.CrpLnd.Area,1.725
Germany.DE14.CrpLnd.HiSol_CO2,18.778
Germany.DE14.CrpLnd.HiSol_N2O,3.431
,
Germany.DE21.GRSLND.Area,45.873
Germany.DE21.GRSLND.HiSol_CO2,1.07
Germany.DE21.GRSLND.HiSol_N2O,3.432
,
Germany.DE21.CrpLnd.Area,18.852
Germany.DE21.CrpLnd.HiSol_CO2,18.778
Germany.DE21.CrpLnd.HiSol_N2O,3.432
,
Germany.DE22.GRSLND.Area,3.61
Germany.DE22.GRSLND.HiSol_CO2,1.07
Germany.DE22.GRSLND.HiSol_N2O,3.432
,
Germany.DE22.CrpLnd.Area,3.026
Germany.DE22.CrpLnd.HiSol_CO2,18.778
Germany.DE22.CrpLnd.HiSol_N2O,3.433
,
Germany.DE23.GRSLND.Area,2.182
Germany.DE23.GRSLND.HiSol_CO2,1.07
Germany.DE23.GRSLND.HiSol_N2O,3.432
,
Germany.DE23.CrpLnd.Area,0.79
Germany.DE23.CrpLnd.HiSol_CO2,18.777
Germany.DE23.CrpLnd.HiSol_N2O,3.432
,
Germany.DE24.GRSLND.Area,2.582
Germany.DE24.GRSLND.HiSol_CO2,1.07
Germany.DE24.GRSLND.HiSol_N2O,3.432
,
Germany.DE24.CrpLnd.Area,0.432
Germany.DE24.CrpLnd.HiSol_CO2,18.78
Germany.DE24.CrpLnd.HiSol_N2O,3.437
,
