NUTS2,name,area_2020_f455,area_2020_ref,area_2030_ref,area_2030_f455,f455_change,ref_change,area,perc_f455_change,perc_ref_change,diff_2020
PT14,WoodlandForest_multi,342.62284375,362.5088125,481.6663125,103.8646796875,-238.75816406250001,119.15750000000003,2966.14773924245,-0.08049436004272617,0.04017247638191909,19.88596874999996
DE23,Cropland_med,9.316461625843191,29.0675070078103,35.6343291101534,9.95797011359614,0.6415084877529491,6.566822102343103,969.5748671108895,6.616389404404604e-4,0.006772888123545039,19.75104538196711
GR11,WoodlandForest_multi,91.335609375,110.451734375,211.30146875,1.1577943115234375,-90.17781506347657,100.849734375,1443.3327612529604,-0.062478880466340286,0.06987282287381333,19.116124999999997
FR51,Pasture_high,212.09452477457,231.044935893037,234.937345243485,212.09452477457,0,3.8924093504479913,3349.361671708422,0,0.0011621346787737542,18.950411118467002
GR21,WoodlandForest_multi,318.5081875,337.3810625,337.32565625,88.760296875,-229.74789062500003,-0.0554062499999759,919.9937594194475,-0.24972766203325122,-6.0224593300436556e-5,18.872874999999965
PL01,WoodlandForest_multi,165.78175,184.18959375,274.8675,85.8774765625,-79.9042734375,90.67790625,1992.4233061908528,-0.040104064828604256,0.04551136596738546,18.407843750000012
AT33,WoodlandForest_prod,44.48203125,62.8670703125,108.5641875,505.9370625,461.45503125000005,45.697117187500005,1265.9019275940216,0.36452668345883904,0.036098465601006026,18.3850390625
FR43,WoodlandForest_multi,531.3631875,549.7165625,143.7108125,18.772240234375,-512.590947265625,-406.00575000000003,1647.8978563592282,-0.31105747561205904,-0.24637798297584176,18.353375000000028
PL02,WoodlandForest_multi,196.558265625,214.76503125,229.8391875,0,-196.558265625,15.074156250000016,1798.038815894933,-0.10931814368377113,0.008383665645447813,18.206765625000003
AT31,WoodlandForest_prod,415.09015625,433.1916875,435.05096875,446.394875,31.304718750000006,1.859281249999981,1197.9779653810883,0.0261312976153461,0.001552016233794856,18.101531249999994
PL05,WoodlandForest_multi,335.08721875,352.55578125,361.9323125,0,-335.08721875,9.376531250000028,1824.4160686784771,-0.18366820184428748,0.0051394697793864285,17.46856250000002
DE14,WoodlandForest_multi,67.62365625,84.5295703125,84.4751484375,0,-67.62365625,-0.05442187500000273,894.6096752230849,-0.07559012396455134,-6.0833094596737716e-5,16.905914062500003
UKF3,Pasture_high,0.154372761154304,16.9972759360535,24.9905206478846,32.2133133452805,32.05894058412619,7.9932447118311,607.4201049061585,0.05277885984540969,0.013159335108056707,16.8429031748992
RO01,Pasture_high,226.240021343386,242.408525884982,242.408525884982,226.240021343386,0,0,3754.5134507013636,0,0,16.168504541596008
CZ02,WoodlandForest_prod,208.488875,223.92175,124.2374140625,190.876125,-17.612750000000005,-99.68433593750001,1100.9739822356773,-0.015997426173718403,-0.09054195425679126,15.432874999999996
UKM4,WoodlandForest_multi,82.05534375,97.134953125,32.5656015625,33.63217578125,-48.42316796875001,-64.5693515625,4195.807725685392,-0.011540845323373345,-0.015389015842462727,15.07960937499999
DE72,WoodlandForest_multi,54.77927734375,69.0837421875,114.27596875,0,-54.77927734375,45.19222656250001,540.3202130693265,-0.10138298738182033,0.08363971117382862,14.30446484374999
DED2,Cropland_high,167.6161731222212,181.76143476324282,118.12552986500157,167.61617312222089,-3.126388037344441e-13,-63.63590489824125,793.8782402992401,-3.9381203295936126e-16,-0.08015826819268239,14.14526164102162
PL07,WoodlandForest_multi,494.3704375,508.33784375,510.4563125,39.5016171875,-454.86882031249996,2.1184687500000337,3573.1380208969003,-0.12730233695207846,5.92887466873802e-4,13.96740625000001
RO07,WoodlandForest_multi,863.1825625,876.8145625,586.8305625,460.91790625,-402.26465625000003,-289.9839999999999,3426.4632157649967,-0.11739937974503832,-0.08463070569845814,13.631999999999948
AT12,WoodlandForest_multi,199.61228125,212.344421875,215.3735625,0.005336375713348389,-199.60694487428665,3.0291406249999966,1918.0527144334822,-0.10406749687963751,0.0015792791314886705,12.732140625
UKJ2,Pasture_low,131.110468266461,143.46860312556,166.559044736855,130.952225732405,-0.15824253405600075,23.090441611294978,557.9324758864632,-2.836230922112561e-4,0.041385727860003226,12.35813485909901
DE13,Cropland_high,160.5477795486277,172.7704795055197,195.679788801477,177.26966797360612,16.72188842497843,22.909309295957314,940.8891893256136,0.01777243124343252,0.024348573196358712,12.222699956892
DK00,WoodlandForest_multi,103.0265546875,115.0634140625,135.9035,102.3747421875,-0.6518124999999912,20.840085937500007,4347.322970319992,-1.4993422491267388e-4,0.004793774485995007,12.036859375000006
AT32,WoodlandForest_prod,124.253828125,136.176359375,145.804890625,365.62196875,241.36814062500002,9.628531250000009,715.8174286455305,0.337192321625525,0.013451099211455514,11.922531250000006
