PUID,WoodlandForest,HeathlandShrub,Grassland,Pasture,SparseVeg,Cropland,Urban,Wetlands,RiversLakes,MarineTransitional,area,Status
27979,19,0,0,2,0,12.141159057617188,0,0,0,0,1e+08,N2K
27980,179,0,0,54,0,48.685848236083984,1,62,0,0,1e+08,N2K
27981,73.47344970703125,0,0,69.138031005859375,0,23.11989402770996,1,0,0,0,1e+08,N2K
27982,55.39102554321289,0,0,491.8467712402344,0,391.0849304199219,11,0,0,0,1e+08,N2K
27983,377.8169250488281,0,24.787601470947266,1262.988525390625,0,952.316650390625,3,0,1,0,1e+08,N2K
27984,12.840702056884766,0,0,47.840702056884766,0,271.04486083984375,0,0,0,0,1e+08,N2K
27985,33,0,0,0,0,10,0,0,0,0,1e+08,N2K
27986,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27987,468.7209167480469,0,0,0,0,41,0,0,0,0,1e+08,N2K
27988,6115.76171875,0,0,324.05755615234375,0,845.75396728515625,80.17118835449219,0,58,0,1e+08,N2K
27989,1097.4776611328125,0,0,55,0,156.1137237548828,24.988113403320312,0,0,0,1e+08,N2K
27990,0,0,0,0,0,0.14115892350673676,1,0,0,0,1e+08,N2K
27991,28.153045654296875,0,0,0,0,24,6,0,0,0,1e+08,N2K
27992,51.846954345703125,0,0,0,0,8,54.47344970703125,0,0,0,1e+08,N2K
27993,189,0,0,16,0,11,5,0,0,0,1e+08,N2K
